29472366,52195,10677,4946424,181971
29770858,57779,8208,4988455,185710
30585509,59661,1433,5128423,192158
30432060,62157,2081,5101781,190009
30570317,62392,1187,5126499,192694
30771089,48378,2156,5162214,191504
29517503,38711,10914,4953265,177579
30338323,35710,7161,5094173,182524
30656575,36292,4240,5147742,181871
31258384,27307,973,5245533,181662
28654392,58277,16052,4805261,178022
28584762,50120,20700,4767859,169340
29812539,47107,12246,4972299,168537
28849767,54188,13555,4824318,180085
29164574,53626,15069,4869192,174030
29692504,41478,11667,4976110,181681
29952305,34274,9715,5027746,175822
30741487,32278,4944,5158319,179477
31319780,27153,1113,5255764,182832
29389593,50425,11915,4934857,176387
29783526,62744,5739,4989990,186985
30543527,61139,1502,5116502,190542
30503981,54503,3386,5119059,189295
29902467,56593,7332,5011643,186721
30037595,65222,2892,5036931,189087
30356455,62233,1867,5087081,189456
30089754,58089,4325,5041285,189276
31219866,45791,7828,5199844,165999
30103771,59950,4366,5047391,189191
30140051,56127,3259,5053824,188070
29523695,71078,3592,4949317,187626
30444891,58103,1938,5100089,189265
30321668,56678,3376,5085371,189911
30333464,62847,2453,5085348,191052
30548927,53258,2160,5121710,190677
29974965,68735,3420,5025482,187916
30413741,64142,1301,5098997,192799
30375771,55398,3555,5094439,188712
30468193,60203,2258,5106559,191807
30129611,65290,1990,5053006,189957
30601640,63628,1092,5128496,193683
30143256,57240,4244,5054082,187355
30686304,59093,1183,5148305,191904
30700737,52075,1858,5149070,191178
29912011,59574,4565,5013176,185903
30235288,66130,2564,5066920,190142
30425335,58003,2420,5102843,189304
30260999,63154,3725,5070264,188371
30290844,66143,2140,5077299,188893
30413716,60760,1761,5097626,188777
30385607,59209,2413,5088574,188563
30769161,50765,1700,5158713,190686
30811315,55858,859,5164113,192782
30503434,56062,3015,5114491,191223
29938961,65102,3377,5018379,187425
30493257,61778,1355,5112049,191146
30654949,58213,1353,5141130,193549
29669633,41529,10753,4973909,179027
29705734,40459,8985,4994449,181417
30495404,27175,4084,5114980,177166
30889894,37304,1872,5201700,184170
29343778,54667,9472,4919026,179615
28288645,48886,22932,4715598,166299
29109666,50505,12777,4862248,175502
29075589,56901,13013,4855305,171336
28504507,55689,15816,4761369,173574
29089874,50740,12210,4878118,182275
30429904,34958,11505,5085298,170970
30475504,30818,6727,5117442,178473
30771892,41190,1701,5165795,182802
30332663,40080,6198,5092476,178585
28917184,65680,12831,4840910,180799
30412949,55891,3518,5102202,189385
30352801,56157,4511,5084007,188644
30281005,62219,2615,5074725,190402
30436407,62417,2822,5084846,189314
30520057,54832,2828,5131755,189095
30534681,63075,1694,5116833,190766
30598597,54483,2076,5132620,190657
30468479,65587,1403,5109265,192869
30363559,58233,3746,5071895,188703
30383762,61318,1724,5094279,192463
30224954,43812,7212,5064161,181961
29468163,44594,9642,4956434,180205
30363850,32633,5994,5096345,180133
30840586,39884,2087,5176952,182732
30598358,39026,4552,5137334,182096
28335914,50928,21761,4739913,169822
28609726,55320,16934,4765769,169554
29205875,51629,13911,4872984,172452
28933885,54668,14452,4842121,175411
29005986,52916,12414,4859295,181138
30216466,42317,13093,5037638,165319
30531453,25826,6092,5126391,178125
30705523,33845,3253,5141026,180625
30801991,37939,2595,5187725,182290
29536886,53193,12005,4941963,173462
30137516,67379,4557,5054295,189960
29804515,56546,7291,4995280,185931
30229887,57694,4276,5066914,187416
30416635,59141,3268,5098728,190441
30464098,63211,1684,5108975,192923
